Bloc;Date;Generation;Phase;Rack;Row;Column;Treatment;Line;Fruit_s;Nb_adults;T_counted;T_produced
1;2/5/2017;1;first_prepool;A;1;1;Cherry;CE1;Cherry;6;1;
1;2/5/2017;1;first_prepool;A;2;1;Cherry;CE1;Cherry;17;1;
1;2/5/2017;1;first_prepool;A;3;1;Cherry;CE1;Cherry;12;1;
1;2/5/2017;1;first_prepool;A;4;1;Cherry;CE1;Cherry;24;1;
1;2/5/2017;1;first_prepool;A;5;1;Cherry;CE1;Cherry;33;1;
1;2/5/2017;1;first_prepool;A;6;1;Cherry;CE1;Cherry;18;1;
1;2/5/2017;1;first_prepool;A;7;1;Cherry;CE1;Cherry;5;1;
1;2/5/2017;1;first_prepool;A;8;1;Cherry;CE1;Cherry;5;1;
1;2/5/2017;1;first_prepool;A;9;1;Cherry;CE1;Cherry;12;1;
1;2/5/2017;1;first_prepool;A;10;1;Cherry;CE1;Cherry;11;1;
1;2/5/2017;1;first_prepool;A;1;2;Cherry;CE1;Cherry;14;1;
1;2/5/2017;1;first_prepool;A;2;2;Cherry;CE1;Cherry;34;1;
1;2/5/2017;1;first_prepool;A;3;2;Cherry;CE1;Cherry;0;1;
1;2/5/2017;1;first_prepool;A;4;2;Cherry;CE1;Cherry;33;1;
1;2/5/2017;1;first_prepool;A;5;2;Cherry;CE1;Cherry;36;1;
1;2/5/2017;1;first_prepool;A;6;2;Cherry;CE1;Cherry;2;1;
1;2/5/2017;1;first_prepool;A;7;2;Cherry;CE1;Cherry;40;1;
1;2/5/2017;1;first_prepool;A;8;2;Cherry;CE1;Cherry;23;1;
1;2/5/2017;1;first_prepool;A;9;2;Cherry;CE1;Cherry;2;1;
1;2/5/2017;1;first_prepool;A;10;2;Cherry;CE1;Cherry;22;1;
1;2/5/2017;1;first_prepool;A;1;3;Fig;FI1;Fig;36;1;
1;2/5/2017;1;first_prepool;A;2;3;Fig;FI1;Fig;34;1;
1;2/5/2017;1;first_prepool;A;3;3;Fig;FI1;Fig;8;1;
1;2/5/2017;1;first_prepool;A;4;3;Fig;FI1;Fig;6;1;
1;2/5/2017;1;first_prepool;A;5;3;Fig;FI1;Fig;28;1;
1;2/5/2017;1;first_prepool;A;6;3;Fig;FI1;Fig;44;1;
1;2/5/2017;1;first_prepool;A;7;3;Fig;FI1;Fig;10;1;
1;2/5/2017;1;first_prepool;A;8;3;Fig;FI1;Fig;27;1;
1;2/5/2017;1;first_prepool;A;9;3;Fig;FI1;Fig;17;1;
1;2/5/2017;1;first_prepool;A;10;3;Fig;FI1;Fig;8;1;
1;2/5/2017;1;first_prepool;A;1;4;Fig;FI1;Fig;16;1;
1;2/5/2017;1;first_prepool;A;2;4;Fig;FI1;Fig;40;1;
1;2/5/2017;1;first_prepool;A;3;4;Fig;FI1;Fig;8;1;
1;2/5/2017;1;first_prepool;A;4;4;Fig;FI1;Fig;17;1;
1;2/5/2017;1;first_prepool;A;5;4;Fig;FI1;Fig;20;1;
1;2/5/2017;1;first_prepool;A;6;4;Fig;FI1;Fig;33;1;
1;2/5/2017;1;first_prepool;A;7;4;Fig;FI1;Fig;0;1;
1;2/5/2017;1;first_prepool;A;8;4;Fig;FI1;Fig;32;1;
1;2/5/2017;1;first_prepool;A;9;4;Fig;FI1;Fig;13;1;
1;2/5/2017;1;first_prepool;A;10;4;Fig;FI1;Fig;19;1;
1;2/5/2017;1;first_prepool;A;1;5;Blackcurrant;CA1;Blackcurrant;15;1;
1;2/5/2017;1;first_prepool;A;2;5;Blackcurrant;CA1;Blackcurrant;20;1;
1;2/5/2017;1;first_prepool;A;3;5;Blackcurrant;CA1;Blackcurrant;8;1;
1;2/5/2017;1;first_prepool;A;4;5;Blackcurrant;CA1;Blackcurrant;12;1;
1;2/5/2017;1;first_prepool;A;5;5;Blackcurrant;CA1;Blackcurrant;23;1;
1;2/5/2017;1;first_prepool;A;6;5;Blackcurrant;CA1;Blackcurrant;11;1;
1;2/5/2017;1;first_prepool;A;7;5;Blackcurrant;CA1;Blackcurrant;30;1;
1;2/5/2017;1;first_prepool;A;8;5;Blackcurrant;CA1;Blackcurrant;46;1;
1;2/5/2017;1;first_prepool;A;9;5;Blackcurrant;CA1;Blackcurrant;20;1;
1;2/5/2017;1;first_prepool;A;10;5;Blackcurrant;CA1;Blackcurrant;0;1;
1;2/5/2017;1;first_prepool;A;1;6;Blackcurrant;CA1;Blackcurrant;20;1;
1;2/5/2017;1;first_prepool;A;2;6;Blackcurrant;CA1;Blackcurrant;19;1;
1;2/5/2017;1;first_prepool;A;3;6;Blackcurrant;CA1;Blackcurrant;24;1;
1;2/5/2017;1;first_prepool;A;4;6;Blackcurrant;CA1;Blackcurrant;4;1;
1;2/5/2017;1;first_prepool;A;5;6;Blackcurrant;CA1;Blackcurrant;8;1;
1;2/5/2017;1;first_prepool;A;6;6;Blackcurrant;CA1;Blackcurrant;11;1;
1;2/5/2017;1;first_prepool;A;7;6;Blackcurrant;CA1;Blackcurrant;16;1;
1;2/5/2017;1;first_prepool;A;8;6;Blackcurrant;CA1;Blackcurrant;18;1;
1;2/5/2017;1;first_prepool;A;9;6;Blackcurrant;CA1;Blackcurrant;17;1;
1;2/5/2017;1;first_prepool;A;10;6;Blackcurrant;CA1;Blackcurrant;28;1;
1;2/5/2017;1;first_prepool;A;1;7;Strawberry;FR1;Strawberry;32;1;
1;2/5/2017;1;first_prepool;A;2;7;Strawberry;FR1;Strawberry;44;1;
1;2/5/2017;1;first_prepool;A;3;7;Strawberry;FR1;Strawberry;2;1;
1;2/5/2017;1;first_prepool;A;4;7;Strawberry;FR1;Strawberry;25;1;
1;2/5/2017;1;first_prepool;A;5;7;Strawberry;FR1;Strawberry;0;1;
1;2/5/2017;1;first_prepool;A;6;7;Strawberry;FR1;Strawberry;24;1;
1;2/5/2017;1;first_prepool;A;7;7;Strawberry;FR1;Strawberry;40;1;
1;2/5/2017;1;first_prepool;A;8;7;Strawberry;FR1;Strawberry;62;1;
1;2/5/2017;1;first_prepool;A;9;7;Strawberry;FR1;Strawberry;32;1;
1;2/5/2017;1;first_prepool;A;10;7;Strawberry;FR1;Strawberry;37;1;
1;2/5/2017;1;first_prepool;A;1;8;Strawberry;FR1;Strawberry;28;1;
1;2/5/2017;1;first_prepool;A;2;8;Strawberry;FR1;Strawberry;21;1;
1;2/5/2017;1;first_prepool;A;3;8;Strawberry;FR1;Strawberry;37;1;
1;2/5/2017;1;first_prepool;A;4;8;Strawberry;FR1;Strawberry;0;1;
1;2/5/2017;1;first_prepool;A;5;8;Strawberry;FR1;Strawberry;25;1;
1;2/5/2017;1;first_prepool;A;6;8;Strawberry;FR1;Strawberry;37;1;
1;2/5/2017;1;first_prepool;A;7;8;Strawberry;FR1;Strawberry;50;1;
1;2/5/2017;1;first_prepool;A;8;8;Strawberry;FR1;Strawberry;10;1;
1;2/5/2017;1;first_prepool;A;9;8;Strawberry;FR1;Strawberry;30;1;
1;2/5/2017;1;first_prepool;A;10;8;Strawberry;FR1;Strawberry;49;1;
1;2/5/2017;1;first_prepool;A;1;9;Tomato;TO1;Tomato;0;1;
1;2/5/2017;1;first_prepool;A;2;9;Tomato;TO1;Tomato;0;1;
1;2/5/2017;1;first_prepool;A;3;9;Tomato;TO1;Tomato;30;1;
1;2/5/2017;1;first_prepool;A;4;9;Tomato;TO1;Tomato;0;1;
1;2/5/2017;1;first_prepool;A;5;9;Tomato;TO1;Tomato;0;1;
1;2/5/2017;1;first_prepool;A;6;9;Tomato;TO1;Tomato;0;1;
1;2/5/2017;1;first_prepool;A;7;9;Tomato;TO1;Tomato;0;1;
1;2/5/2017;1;first_prepool;A;8;9;Tomato;TO1;Tomato;0;1;
1;2/5/2017;1;first_prepool;A;9;9;Tomato;TO1;Tomato;0;1;
1;2/5/2017;1;first_prepool;A;10;9;Tomato;TO1;Tomato;0;1;
1;2/5/2017;1;first_prepool;A;1;10;Tomato;TO1;Tomato;3;1;
1;2/5/2017;1;first_prepool;A;2;10;Tomato;TO1;Tomato;1;1;
1;2/5/2017;1;first_prepool;A;3;10;Tomato;TO1;Tomato;2;1;
1;2/5/2017;1;first_prepool;A;4;10;Tomato;TO1;Tomato;0;1;
1;2/5/2017;1;first_prepool;A;5;10;Tomato;TO1;Tomato;0;1;
1;2/5/2017;1;first_prepool;A;6;10;Tomato;TO1;Tomato;0;1;
1;2/5/2017;1;first_prepool;A;7;10;Tomato;TO1;Tomato;0;1;
1;2/5/2017;1;first_prepool;A;8;10;Tomato;TO1;Tomato;0;1;
1;2/5/2017;1;first_prepool;A;9;10;Tomato;TO1;Tomato;1;1;
1;2/5/2017;1;first_prepool;A;10;10;Tomato;TO1;Tomato;2;1;
1;2/5/2017;1;first_prepool;B;1;1;Cranberry;CR1;Cranberry;10;1;
1;2/5/2017;1;first_prepool;B;2;1;Cranberry;CR1;Cranberry;36;1;
1;2/5/2017;1;first_prepool;B;3;1;Cranberry;CR1;Cranberry;24;1;
1;2/5/2017;1;first_prepool;B;4;1;Cranberry;CR1;Cranberry;28;1;
1;2/5/2017;1;first_prepool;B;5;1;Cranberry;CR1;Cranberry;24;1;
1;2/5/2017;1;first_prepool;B;6;1;Cranberry;CR1;Cranberry;31;1;
1;2/5/2017;1;first_prepool;B;7;1;Cranberry;CR1;Cranberry;23;1;
1;2/5/2017;1;first_prepool;B;8;1;Cranberry;CR1;Cranberry;31;1;
1;2/5/2017;1;first_prepool;B;9;1;Cranberry;CR1;Cranberry;33;1;
1;2/5/2017;1;first_prepool;B;10;1;Cranberry;CR1;Cranberry;19;1;
1;2/5/2017;1;first_prepool;B;1;2;Cranberry;CR1;Cranberry;7;1;
1;2/5/2017;1;first_prepool;B;2;2;Cranberry;CR1;Cranberry;43;1;
1;2/5/2017;1;first_prepool;B;3;2;Cranberry;CR1;Cranberry;29;1;
1;2/5/2017;1;first_prepool;B;4;2;Cranberry;CR1;Cranberry;25;1;
1;2/5/2017;1;first_prepool;B;5;2;Cranberry;CR1;Cranberry;33;1;
1;2/5/2017;1;first_prepool;B;6;2;Cranberry;CR1;Cranberry;13;1;
1;2/5/2017;1;first_prepool;B;7;2;Cranberry;CR1;Cranberry;41;1;
1;2/5/2017;1;first_prepool;B;8;2;Cranberry;CR1;Cranberry;11;1;
1;2/5/2017;1;first_prepool;B;9;2;Cranberry;CR1;Cranberry;43;1;
1;2/5/2017;1;first_prepool;B;10;2;Cranberry;CR1;Cranberry;44;1;
1;2/5/2017;1;first_prepool;B;1;3;Grape;RA1;Grape;20;1;
1;2/5/2017;1;first_prepool;B;2;3;Grape;RA1;Grape;6;1;
1;2/5/2017;1;first_prepool;B;3;3;Grape;RA1;Grape;11;1;
1;2/5/2017;1;first_prepool;B;4;3;Grape;RA1;Grape;9;1;
1;2/5/2017;1;first_prepool;B;5;3;Grape;RA1;Grape;5;1;
1;2/5/2017;1;first_prepool;B;6;3;Grape;RA1;Grape;4;1;
1;2/5/2017;1;first_prepool;B;7;3;Grape;RA1;Grape;8;1;
1;2/5/2017;1;first_prepool;B;8;3;Grape;RA1;Grape;7;1;
1;2/5/2017;1;first_prepool;B;9;3;Grape;RA1;Grape;6;1;
1;2/5/2017;1;first_prepool;B;10;3;Grape;RA1;Grape;2;1;
1;2/5/2017;1;first_prepool;B;1;4;Grape;RA1;Grape;7;1;
1;2/5/2017;1;first_prepool;B;2;4;Grape;RA1;Grape;15;1;
1;2/5/2017;1;first_prepool;B;3;4;Grape;RA1;Grape;15;1;
1;2/5/2017;1;first_prepool;B;4;4;Grape;RA1;Grape;2;1;
1;2/5/2017;1;first_prepool;B;5;4;Grape;RA1;Grape;20;1;
1;2/5/2017;1;first_prepool;B;6;4;Grape;RA1;Grape;4;1;
1;2/5/2017;1;first_prepool;B;7;4;Grape;RA1;Grape;0;1;
1;2/5/2017;1;first_prepool;B;8;4;Grape;RA1;Grape;7;1;
1;2/5/2017;1;first_prepool;B;9;4;Grape;RA1;Grape;1;1;
1;2/5/2017;1;first_prepool;B;10;4;Grape;RA1;Grape;9;1;
1;2/5/2017;1;first_prepool;B;1;5;Rosehips;EG1;Rosehips;2;1;
1;2/5/2017;1;first_prepool;B;2;5;Rosehips;EG1;Rosehips;0;1;
1;2/5/2017;1;first_prepool;B;3;5;Rosehips;EG1;Rosehips;41;1;
1;2/5/2017;1;first_prepool;B;4;5;Rosehips;EG1;Rosehips;2;1;
1;2/5/2017;1;first_prepool;B;5;5;Rosehips;EG1;Rosehips;4;1;
1;2/5/2017;1;first_prepool;B;6;5;Rosehips;EG1;Rosehips;0;1;
1;2/5/2017;1;first_prepool;B;7;5;Rosehips;EG1;Rosehips;3;1;
1;2/5/2017;1;first_prepool;B;8;5;Rosehips;EG1;Rosehips;1;1;
1;2/5/2017;1;first_prepool;B;9;5;Rosehips;EG1;Rosehips;1;1;
1;2/5/2017;1;first_prepool;B;10;5;Rosehips;EG1;Rosehips;44;1;
1;2/5/2017;1;first_prepool;B;1;6;Rosehips;EG1;Rosehips;4;1;
1;2/5/2017;1;first_prepool;B;2;6;Rosehips;EG1;Rosehips;0;1;
1;2/5/2017;1;first_prepool;B;3;6;Rosehips;EG1;Rosehips;5;1;
1;2/5/2017;1;first_prepool;B;4;6;Rosehips;EG1;Rosehips;22;1;
1;2/5/2017;1;first_prepool;B;5;6;Rosehips;EG1;Rosehips;0;1;
1;2/5/2017;1;first_prepool;B;6;6;Rosehips;EG1;Rosehips;0;1;
1;2/5/2017;1;first_prepool;B;7;6;Rosehips;EG1;Rosehips;0;1;
1;2/5/2017;1;first_prepool;B;8;6;Rosehips;EG1;Rosehips;0;1;
