Block;Date_C_O;Date_C_A;Date;Generation;Rack;Row;Column;Treatment;Line;Fruit_s;Nb_eggs;Obs_O;Nb_adults;Obs_A;Comment;Recount_Nb_eggs;Obs_recount_eggs;Acariens;Nb_adults_dead;Recount_Nb_adults;Obs_recount_adults
;;29//12//2017;29/12/2017;12;A;1;1;Cherry;CEA;Cherry;;;26;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;2;1;Cherry;CEA;Cherry;;;15;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;3;1;Cherry;CEA;Cherry;;;26;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;4;1;Cherry;CEA;Cherry;;;19;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;5;1;Cherry;CEA;Cherry;;;0;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;6;1;Cherry;CEA;Cherry;;;50;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;7;1;Cherry;CEA;Cherry;;;27;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;8;1;Cherry;CEA;Cherry;;;34;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;9;1;Cherry;CEA;Cherry;;;10;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;10;1;Cherry;CEA;Cherry;;;21;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;1;2;Cherry;CEA;Cherry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;2;2;Cherry;CEA;Cherry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;3;2;Cherry;CEA;Cherry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;4;2;Cherry;CEA;Cherry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;5;2;Cherry;CEA;Cherry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;6;2;Cherry;CEA;Cherry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;7;2;Cherry;CEA;Cherry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;8;2;Cherry;CEA;Cherry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;9;2;Cherry;CEA;Cherry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;10;2;Cherry;CEA;Cherry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;1;3;Cherry;CEA;Cherry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;2;3;Cherry;CEA;Cherry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;3;3;Cherry;CEA;Cherry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;4;3;Cherry;CEA;Cherry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;5;3;Cherry;CEA;Cherry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;1;4;Strawberry;FRB;Strawberry;;;19;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;2;4;Strawberry;FRB;Strawberry;;;36;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;3;4;Strawberry;FRB;Strawberry;;;35;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;4;4;Strawberry;FRB;Strawberry;;;51;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;5;4;Strawberry;FRB;Strawberry;;;10;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;6;4;Strawberry;FRB;Strawberry;;;12;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;7;4;Strawberry;FRB;Strawberry;;;57;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;8;4;Strawberry;FRB;Strawberry;;;32;AA;;;;;;;
