Block;Rack;Line;Fruit_s;Generation;Date_O;Date_A;Line;Colonne;Treatment;Nb_eggs;Obs_O;Nb_adults;Obs_A,
2D;NA;EG3;Rosehips;G7;27/8/2017;09/05/2017;L1;C1;Rosehips;92;AA;43;LO,
2D;NA;EG3;Rosehips;G7;27/8/2017;09/05/2017;L1;C1;Rosehips;123;AA;39;LO,
2D;NA;CR4;Cranberry;G7;27/8/2017;09/05/2017;L1;C2;Strawberry;152;AA;68;LO,
2D;NA;CR4;Cranberry;G7;27/8/2017;09/05/2017;L2;C2;Cranberry;246;AA;25;LO,
2D;NA;CR4;Cranberry;G7;27/8/2017;09/05/2017;L3;C2;Cherry;238;AA;29;LO,
2D;NA;CR4;Cranberry;G7;27/8/2017;09/05/2017;L4;C2;Cherry;166;AA;23;LO,
2D;NA;FI3;Fig;G7;27/8/2017;09/05/2017;L1;C3;Fig;213;AA;22;LO,
2D;NA;FR3;Strawberry;G7;27/8/2017;09/05/2017;L1;C4;Cranberry;204;AA;5;LO,
2D;NA;FR3;Strawberry;G7;27/8/2017;09/05/2017;L2;C4;Strawberry;124;AA;45;LO,
2D;NA;FR3;Strawberry;G7;27/8/2017;09/05/2017;L3;C4;Cherry;149;AA;37;LO,
2D;NA;FR3;Strawberry;G7;27/8/2017;09/05/2017;L4;C4;Cranberry;162;AA;38;LO,
2D;NA;FR3;Strawberry;G7;27/8/2017;09/05/2017;L5;C4;Strawberry;221;AA;36;LO,
2D;NA;FR3;Strawberry;G7;27/8/2017;09/05/2017;L6;C4;Cherry;196;AA;83;LO,
2D;NA;CE4;Cherry;G7;27/8/2017;09/05/2017;L1;C5;Cherry;167;AA;26;LO,
2D;NA;CE4;Cherry;G7;27/8/2017;09/05/2017;L2;C5;Cranberry;40;AA;19;LO,
2D;NA;CE4;Cherry;G7;27/8/2017;09/05/2017;L3;C5;Strawberry;307;AA;83;LO,
2D;NA;FR4;Strawberry;G7;27/8/2017;09/05/2017;L1;C6;Strawberry;268;AA;61;LO,
2D;NA;FR4;Strawberry;G7;27/8/2017;09/05/2017;L2;C6;Cherry;116;AA;53;LO,
2D;NA;FR4;Strawberry;G7;27/8/2017;09/05/2017;L3;C6;Cranberry;209;AA;98;LO,
2D;NA;FR4;Strawberry;G7;27/8/2017;09/05/2017;L4;C6;Strawberry;235;AA;86;LO,
2D;NA;FR4;Strawberry;G7;27/8/2017;09/05/2017;L5;C6;Cherry;260;AA;32;LO,
2D;NA;FR4;Strawberry;G7;27/8/2017;09/05/2017;L1;C7;Cranberry;206;AA;44;LO,
2D;NA;FR4;Strawberry;G7;27/8/2017;09/05/2017;L2;C7;Strawberry;127;AA;37;LO,
2D;NA;FR4;Strawberry;G7;27/8/2017;09/05/2017;L3;C7;Cranberry;295;AA;23;LO,
2D;NA;FR4;Strawberry;G7;27/8/2017;09/05/2017;L4;C7;Cherry;197;AA;58;LO,
2D;NA;FR4;Strawberry;G7;27/8/2017;09/05/2017;L5;C7;Strawberry;140;AA;41;LO,
2D;NA;FR4;Strawberry;G7;27/8/2017;09/05/2017;L6;C7;Cherry;136;AA;90;LO,
2D;NA;CR5;Cranberry;G7;27/8/2017;09/05/2017;L1;C8;Cranberry;245;AA;30;LO,
2D;NA;CR5;Cranberry;G7;27/8/2017;09/05/2017;L2;C8;Cherry;138;AA;37;LO,
2D;NA;CR5;Cranberry;G7;27/8/2017;09/05/2017;L3;C8;Cranberry;181;AA;54;LO,
2D;NA;CR5;Cranberry;G7;27/8/2017;09/05/2017;L4;C8;Strawberry;52;AA;17;LO,
